fips,state,population,pop_change_2018,unemployment_rate,median_hh_income,pct_below_povert,feb_temp_avg,aug_temp_avg,prc_bachelors,physicians_per_pop
01001,AL,55601,158,3.6,59338,19.3,14.8,27.7,27.7,217.1
01003,AL,218022,5403,3.6,57588,13.9,16.7,28.1,31.3,217.1
01005,AL,24881,-277,5.2,34382,43.9,14.7,27.3,12.2,217.1
01007,AL,22400,-155,4,46064,27.8,12.7,26.7,11.5,217.1
01009,AL,57840,13,3.5,50412,18,11.2,26.2,12.6,217.1
01011,AL,10138,-38,4.7,29267,68.3,14.6,27.1,13.3,217.1
01013,AL,19680,-218,4.8,37365,36.3,15.2,27.2,16.1,217.1
01015,AL,114277,-387,4.7,45400,26.5,11.4,26.6,18,217.1
01017,AL,33615,-143,3.9,39917,30.7,12.6,26.4,13.2,217.1
01019,AL,26032,217,3.6,42132,24.7,10.8,26.3,12.9,217.1
01021,AL,44153,36,3.6,47547,23.3,13.2,27,14.2,217.1
01023,AL,12841,-94,5.5,39907,32.1,14.8,27.7,13,217.1
01025,AL,23920,-177,7.5,40741,31.7,16.1,27.8,12.6,217.1
01027,AL,13275,-92,3.9,39201,25.8,11.7,26,10.2,217.1
01029,AL,14987,81,4.2,46495,22.9,11.1,26.1,13.7,217.1
01031,AL,51909,132,3.9,55122,21.9,15,27.3,23.4,217.1
01033,AL,54762,253,4.6,49055,21,9.7,25.6,18.7,217.1
01035,AL,12277,-158,5.2,32613,40.1,16,27.9,10.7,217.1
01037,AL,10715,-42,4.2,42423,30.1,12.8,26.8,11.6,217.1
01039,AL,36986,-92,4.6,40203,29.5,15.4,27.6,14.9,217.1
01041,AL,13824,-37,4.1,39057,30.8,14.7,26.9,15.6,217.1
01043,AL,83442,606,3.3,45796,19.7,11,26.1,13.7,217.1
01045,AL,48956,-298,4.2,45309,24.4,15.4,27.5,17,217.1
01047,AL,38310,-925,6.5,34035,48,15,27.6,15.1,217.1
01049,AL,71385,-19,3.8,39491,29.6,9.9,24.8,12.7,217.1
01051,AL,81887,471,3.4,60367,16.3,14.2,27.4,24.5,217.1
01053,AL,36748,-251,4.6,38418,32.8,16.3,28,12.7,217.1
01055,AL,102501,-436,4.1,44903,28.8,10.8,26.4,17.7,217.1
01057,AL,16433,-41,4.1,39254,37.4,11.7,26.7,12.9,217.1
01059,AL,31363,-227,3.7,39388,30.1,10,25.4,12.9,217.1
01061,AL,26314,-96,3.9,37823,29.5,15.7,27.7,11.1,217.1
01063,AL,8233,-85,6.7,28524,44,12.9,27.2,10.1,217.1
01065,AL,14726,-83,5.1,34724,35.6,13.2,26.9,14.1,217.1
