item,year,month,day,hour,minute,second,user,page_size,comment
Apple,2020,1,16,18,5,15,Zefr,74204,Reverted 1 edit by [[Special:Contributions/TarantinQuentino|TarantinQuentino]] ([[User talk:TarantinQuentino|talk]]): Vandalism ([[WP:TW|TW]])
Apple,2020,1,16,18,2,55,TarantinQuentino,74263,just human things
Apple,2020,1,14,14,48,14,Zefr,74204,Reverted 1 edit by [[Special:Contributions/DRosenbach|DRosenbach]] ([[User talk:DRosenbach|talk]]): Seems an opinion; unsourced as a reason to discard ([[WP:TW|TW]])
Apple,2020,1,14,14,41,17,DRosenbach,74230,/* Human consumption */Not just does it contain the seeds but it's also bitter
Apple,2020,1,11,15,54,42,Zefr,74204,"/* Nutrition */update USDA table url; add macronutrient statement, ce, rv fluoride from table as nonsensical"
Apple,2020,1,11,15,22,5,Thue,74265,/* History */ typo
Apple,2020,1,11,15,21,41,Thue,74273,/* History */ More history
Apple,2020,1,11,10,53,30,Peter coxhead,73464,corrected formatting
Apple,2020,1,11,10,17,43,Thue,73460,/* History */ +earliest documented find I could find
Apple,2019,12,31,16,29,19,Plantdrew,73093,remove statement not supported by cited source. Apples aren't in the running for earliest cultivated tree. Dates and figs are certainly older.
Apple,2019,12,31,16,23,11,Thue,73184,"/* History */ Fix origin, with an actual authoritative citation!"
Apple,2019,12,17,23,40,55,InternetArchiveBot,72678,Bluelinking 1 books for [[WP:V|verifiability]].) #IABot (v2.1alpha3
Apple,2019,12,16,18,50,1,Cnwilliams,72721,Disambiguated: [[nuts]] → [[nut (fruit)]]
Apple,2019,12,12,3,18,57,Plantdrew,72709,removed [[Category:Cyanide-containing foods]] using [[WP:HC|HotCat]]
Apple,2019,12,6,23,29,2,Clovermoss,72747,/* Etymology */ punctuation
Apple,2019,12,6,3,32,9,Hmains,72746,"AWB general fixes and delink dates per [[:WP:DATELINK]], [[:WP:YEARLINK]] and [[:MOS:UNLINKYEARS]]"
Apple,2019,11,29,20,34,45,VeryGoodDog,72758,Fixed typo
Apple,2019,11,22,16,35,14,Zefr,72760,/* Proverb */ [[WP:REFPUNCT]]; ce
Apple,2019,11,22,4,31,26,Vandergay,72770,"renamed ""Botanical information"" section to ""Description""; moved ""Proverb"" section to ""Society and culture"" subheading and added citation about the proverb; added etymology section. (BTW: the ""Human consumption"" section is a mess and we should fix it.)"
Apple,2019,11,14,18,50,41,Zefr,71479,/* External links */ [[WP:ELNO]]
Apple,2019,11,14,18,46,55,Zefr,72101,/* Non-browning apples */ delink
Apple,2019,11,14,16,44,57,Zefr,72115,/* Human consumption */ trim redundant content
Apple,2019,11,14,16,42,45,Zefr,73482,"/* Human consumption */ ce, add non-browning section"
Apple,2019,11,14,13,46,16,Rchard2scout,73321,Remove or replace obsolete <center> tags. [[WP:HTML5|You can help!]]
Apple,2019,11,6,14,19,57,InternetArchiveBot,73152,Bluelink 1 book for [[WP:V|verifiability]].) #IABot (v2.0) ([[User:GreenC bot|GreenC bot]]
Apple,2019,10,22,20,26,38,Citation bot,73093,Alter: journal. | You can [[WP:UCB|use this bot]] yourself. [[WP:DBUG|Report bugs here]].| Activated by [[User:Headbomb]] | via #UCB_Other
Apple,2019,10,17,20,22,27,Signimu,73091,/* Health effects */ Add a new ref for cancer
Apple,2019,10,13,1,23,39,OhKayeSierra,72752,/* Adage */ change section and lead sentence to proverb per edit request on talk page
Apple,2019,10,7,16,15,43,Peter coxhead,72748,Reverted edits by [[Special:Contribs/Mrking432|Mrking432]] ([[User talk:Mrking432|talk]]) to last version by Peter coxhead
Apple,2019,10,7,16,14,1,Mrking432,73350,candle
Apple,2019,10,7,16,8,11,Mrking432,73134,
Apple,2019,10,7,16,7,0,Mrking432,73021,Undid revision 920085695 by [[Special:Contributions/Peter coxhead|Peter coxhead]] ([[User talk:Peter coxhead|talk]])
Apple,2019,10,7,16,4,10,Peter coxhead,72748,Reverted edits by [[Special:Contribs/Mrking432|Mrking432]] ([[User talk:Mrking432|talk]]) to last version by Zefr
Apple,2019,10,7,16,1,40,Mrking432,73021,apple
Apple,2019,10,7,4,25,6,Zefr,72748,Reverted to revision 919413470 by [[Special:Contributions/Vpab15|Vpab15]] ([[User talk:Vpab15|talk]]): Restore to stable version; there are no health benefits established for consuming apples ([[WP:TW|TW]])
Apple,2019,10,7,2,19,20,Signimu,75006,/* Health effects */ add updated sources and infos per [[WP:MEDRS]]
Apple,2019,10,6,21,15,37,Signimu,72944,"/* Adage */ --> proverb, the source itself states (and discuss about) it being a proverb, not an adage... would need to find another source else"
Apple,2019,10,6,21,14,44,Signimu,72940,format ref
Apple,2019,10,6,21,13,46,Signimu,72748,Undid revision 919952836 by [[Special:Contributions/Signimu|Signimu]] ([[User talk:Signimu|talk]])
Apple,2019,10,6,21,9,58,Signimu,72942,/* Adage */ format ref
Apple,2019,10,3,16,15,34,Vpab15,72748,/* Production */
Apple,2019,10,1,13,57,18,InternetArchiveBot,72752,Rescuing 1 sources and tagging 0 as dead.) #IABot (v2.0
Apple,2019,9,15,0,27,50,Dger,72753,/* Breeding */
Apple,2019,9,14,23,38,30,Dawnseeker2000,72748,Add: author pars. 1-1. Removed parameters.  Some additions/deletions were actually parameter name changes.| You can [[WP:UCB|use this tool]] yourself. [[WP:DBUG|Report bugs here]].
Apple,2019,9,14,23,36,27,Dawnseeker2000,72750,fixed [[MOS:DASH|dashes]] using a [[User:GregU/dashes.js|script]]
Apple,2019,9,14,23,36,9,Dawnseeker2000,72748,/* See also */ link maintenance
Apple,2019,9,14,23,34,54,Dawnseeker2000,72749,date formats per [[MOS:DATEFORMAT]] by [[WP:MOSNUMscript|script]]
Apple,2019,9,11,3,51,33,RL0919,73111,citation cleanup and other fixes
Apple,2019,9,10,19,3,14,Hohum,72939,/* Cultivars */
Apple,2019,9,10,18,58,51,Hohum,72927,/* Cultivars */
Apple,2019,9,10,18,57,17,Hohum,72964,/* Cultivars */
Apple,2019,9,10,18,55,53,Hohum,73009,/* Cultivars */
Apple,2019,9,10,18,54,31,Hohum,73007,/* Cultivars */
Apple,2019,9,10,18,50,42,Hohum,72996,/* Cultivars */
Apple,2019,9,10,18,47,29,Hohum,73014,/* Cultivars */
Apple,2019,9,10,18,44,6,Hohum,73011,/* Cultivars */
Apple,2019,9,10,18,42,39,Hohum,73000,/* Cultivars */
Apple,2019,9,10,18,39,35,Hohum,73002,/* Cultivars */
Apple,2019,9,10,18,28,39,Hohum,73018,/* Cultivars */
Apple,2019,9,4,21,53,8,Verbcatcher,73006,"/* Adage */ merge sentences and delete spurious phrase, in response to [[Talk:Apple#Proverbs Section --Also, Why is this Article Still Protected?]]"
Apple,2019,8,21,23,10,56,Zefr,73050,/* Proverbs */ ce
Apple,2019,8,16,3,6,56,Verbcatcher,73040,/* See also */ decap
Apple,2019,8,7,0,24,20,InternetArchiveBot,73040,Bluelinking 3 books for [[WP:V|verifiability]]. #IABot (v2.1alpha2)
Apple,2019,8,4,4,4,4,Dicklyon,72918,30em not needed; reflist formats well automatically
Apple,2019,7,27,7,5,7,Station1,72923,ce hatnote
Apple,2019,7,20,11,48,26,Arikim123,72927,
Apple,2019,7,14,20,30,5,BrownHairedGirl,72927,remove links to deleted portals
Apple,2019,7,14,20,27,45,BrownHairedGirl,72954,remove links to deleted portals
Apple,2019,6,25,16,42,56,DragonflySixtyseven,72955,better formatting\
Apple,2019,6,19,10,9,39,Kolya Butternut,72874,added name of cultivar to lead image
Apple,2019,6,14,2,30,59,GreenC,72839,/* History */
Apple,2019,6,13,8,51,21,Dolyn,72395,/* Wild ancestors */
Apple,2019,6,13,8,45,35,Dolyn,72392,
Apple,2019,6,13,8,38,38,Dolyn,72132,
Apple,2019,6,13,8,37,5,Dolyn,72126,
Apple,2019,6,13,7,48,22,Dolyn,72606,per talk page
Apple,2019,6,10,1,22,3,Fdr2001,72600,"The data given in the citation does not support this.  Adding the countries up does give that number if one includes all of Europe plus Turkey but the EU is not all european countries, nor is it strictly a country in itself."
Apple,2019,6,4,17,46,26,Ryboy42,72581,Rescuing 2 sources and tagging 0 as dead. #IABot (v2.0beta15)
Apple,2019,5,24,23,13,18,Spy-cicle,72289,Added link.
Apple,2019,5,24,23,6,40,NurishmentForThinking,72285,/* Further reading */ added article on apples
Apple,2019,5,24,16,57,16,InternetArchiveBot,71962,Rescuing 1 sources and tagging 0 as dead. #IABot (v2.0beta14)
Apple,2019,5,2,11,55,5,Arjayay,71961,Duplicate word removed
Apple,2019,5,1,1,5,36,78.26,71965,/* Cultivars */ alpha-beta
Apple,2019,4,28,14,49,52,Zefr,71965,Undid revision 894534788 by [[Special:Contributions/Byeori Kim|Byeori Kim]] ([[User talk:Byeori Kim|talk]])unnecessary
Apple,2019,4,28,14,48,22,Zefr,72251,"/* Production */ update text for 2017, ce"
Apple,2019,4,28,14,10,57,Byeori Kim,72270,
Apple,2019,4,18,5,9,16,Inhighspeed,71985,/* Cultivars */
Apple,2019,4,18,5,8,30,Inhighspeed,71985,/* Cultivars */
Apple,2019,4,18,5,6,56,Inhighspeed,71984,/* Cultivars */
Apple,2019,4,1,22,9,3,Brandmeister,71982,"/* top */ rm tag, remained separate since"
Apple,2019,3,28,0,8,41,Susmuffin,72069,Rescuing 1 sources and tagging 0 as dead. #IABot (v2.0beta13)
Apple,2019,3,28,0,6,3,Susmuffin,72024,"Applying general fixes for links, HTML, and/or references"
Apple,2019,3,16,15,23,35,Citation bot,72022,Alter: pages. Removed URL that duplicated unique identifier. Removed accessdate with no specified URL. Removed parameters. | You can [[WP:UCB|use this bot]] yourself. [[WP:DBUG|Report bugs here]]. | [[User:RhinosF1|RhinosF1]]
Apple,2019,3,3,23,40,34,Randy Kryn,73190,/* Proverbs */ italics-to-quote-marks for a quote (per Wikipedia style)
Apple,2019,2,8,0,54,24,Adavidb,73194,"clean up, [[WP:AWB/T|typo(s) fixed]]: makeing → making"
Apple,2019,1,27,16,46,17,Achim55,73194,uppercase to satisfy the bot
Apple,2019,1,23,16,34,0,Nitpicking polish,73194,Typo. Cleaned up using [[WP:AutoEd|AutoEd]]
Apple,2019,1,19,23,20,50,Citation bot,73207,Alter: pages. Removed parameters. Formatted [[WP:ENDASH|dashes]]. | You can [[WP:UCB|use this bot]] yourself. [[WP:DBUG|Report bugs here]]. | [[WP:UCB|User-activated]].
Apple,2019,1,16,0,22,42,Bluecrab2,73260,Updating table for top producers of apples to 2017 from 2016 using FAO source
Apple,2019,1,15,23,58,25,Bluecrab2,73260,Updating reference
Apple,2019,1,15,23,38,29,Bluecrab2,73256,Updated apple production from 2014 to 2017 uses same source
Apple,2019,1,15,1,5,39,Wei4Green,73254,put hatnote on top (WP:hnt)
Apple,2019,1,12,4,16,54,Mandolinface,73254,"Minor- punctuation, syntax, extra words"
Apple,2018,12,31,18,39,29,Citation bot,73429,"Alter: isbn, pages, journal. Add: date, pmc, pmid, chapter-format, chapter-url, author pars. 1-1. Removed parameters. Formatted [[WP:ENDASH|dashes]]. | You can [[WP:UCB|use this bot]] yourself. [[WP:DBUG|Report bugs here]]. | [[User:NessieVL|NessieVL]]; [[Category:Taxonbars on possible non-taxon pages]]."
Apple,2018,12,21,10,41,45,AnomieBOT,73948,Dating maintenance tags: {{Mergefrom}}
Apple,2018,12,21,10,20,45,Jonesey95,73929,/* top */ mergefrom template per talk page request
Apple,2018,12,12,0,36,14,Bkell,73862,"delete superfluous commas before ""and"" in lists of only two items—note these are not [[serial comma]]s, so [[MOS:SERIAL]] does not apply"
Apple,2018,12,5,12,9,33,The Transhumanist,73874,"Place inline portal link (replacing off-topic portal links, if any)"
Apple,2018,11,29,2,37,11,Philipnelson99,73874,Reverted 1 edit by [[Special:Contributions/Xcarg1|Xcarg1]] ([[User talk:Xcarg1|talk]]) to last revision by The Transhumanist. ([[WP:TW|TW]])
