item,year,month,day,views
Apple,2019,12,28,2458
Apple,2019,12,29,2659
Apple,2019,12,30,2849
Apple,2019,12,31,2589
Apple,2020,1,1,2579
Apple,2020,1,2,3078
Apple,2020,1,3,3034
Apple,2020,1,4,2820
Apple,2020,1,5,2939
Apple,2020,1,6,3172
Apple,2020,1,7,3481
Apple,2020,1,8,3295
Apple,2020,1,9,3444
Apple,2020,1,10,4269
Apple,2020,1,11,2777
Apple,2020,1,12,3145
Apple,2020,1,13,3527
Apple,2020,1,14,3426
Apple,2020,1,15,3403
Apple,2020,1,16,3323
Apple,2020,1,17,3184
Apple,2020,1,18,2569
Apple,2020,1,19,2890
Apple,2020,1,20,3087
Apple,2020,1,21,3311
Apple,2020,1,22,3211
Apple,2020,1,23,3314
Apple,2020,1,24,3070
Apple,2020,1,25,2652
Apple,2020,1,26,2697
Apple,2020,1,27,3107
Apple,2020,1,28,3367
Apple,2020,1,29,3309
Apple,2020,1,30,3350
Apple,2020,1,31,3056
Apple,2020,2,1,2567
Apple,2020,2,2,2862
Apple,2020,2,3,3343
Apple,2020,2,4,3673
Apple,2020,2,5,3482
Apple,2020,2,6,3363
Apple,2020,2,7,3092
Apple,2020,2,8,2822
Apple,2020,2,9,3151
Apple,2020,2,10,3360
Apple,2020,2,11,3430
Apple,2020,2,12,3373
Apple,2020,2,13,3490
Apple,2020,2,14,3108
Apple,2020,2,15,2814
Apple,2020,2,16,3141
Apple,2020,2,17,3514
Apple,2020,2,18,3973
Apple,2020,2,19,3741
Apple,2020,2,20,3489
Apple,2020,2,21,3388
Apple,2020,2,22,3079
Apple,2020,2,23,3294
Apple,2020,2,24,3607
Apple,2020,2,25,3869
Asparagus,2019,12,28,963
Asparagus,2019,12,29,969
Asparagus,2019,12,30,1094
Asparagus,2019,12,31,1114
Asparagus,2020,1,1,1023
Asparagus,2020,1,2,1169
Asparagus,2020,1,3,1105
Asparagus,2020,1,4,1287
Asparagus,2020,1,5,1237
Asparagus,2020,1,6,1126
Asparagus,2020,1,7,1179
Asparagus,2020,1,8,1113
Asparagus,2020,1,9,1180
Asparagus,2020,1,10,1087
Asparagus,2020,1,11,1023
Asparagus,2020,1,12,1223
Asparagus,2020,1,13,1143
Asparagus,2020,1,14,1158
Asparagus,2020,1,15,1095
Asparagus,2020,1,16,1112
Asparagus,2020,1,17,1122
Asparagus,2020,1,18,1092
Asparagus,2020,1,19,1186
Asparagus,2020,1,20,1221
Asparagus,2020,1,21,1154
Asparagus,2020,1,22,1170
Asparagus,2020,1,23,1167
Asparagus,2020,1,24,1022
Asparagus,2020,1,25,1123
Asparagus,2020,1,26,1053
Asparagus,2020,1,27,1115
Asparagus,2020,1,28,1188
Asparagus,2020,1,29,1184
Asparagus,2020,1,30,1198
Asparagus,2020,1,31,1001
Asparagus,2020,2,1,1130
Asparagus,2020,2,2,918
Asparagus,2020,2,3,940
Asparagus,2020,2,4,981
Asparagus,2020,2,5,936
Asparagus,2020,2,6,993
Asparagus,2020,2,7,863
Asparagus,2020,2,8,836
Asparagus,2020,2,9,1012
Asparagus,2020,2,10,960
Asparagus,2020,2,11,1055
Asparagus,2020,2,12,998
Asparagus,2020,2,13,972
Asparagus,2020,2,14,858
Asparagus,2020,2,15,1051
Asparagus,2020,2,16,1109
Asparagus,2020,2,17,1116
Asparagus,2020,2,18,1078
Asparagus,2020,2,19,1048
Asparagus,2020,2,20,970
Asparagus,2020,2,21,931
Asparagus,2020,2,22,914
Asparagus,2020,2,23,1111
Asparagus,2020,2,24,1142
Asparagus,2020,2,25,974
Avocado,2019,12,28,2466
Avocado,2019,12,29,2669
Avocado,2019,12,30,2575
Avocado,2019,12,31,2481
Avocado,2020,1,1,2685
Avocado,2020,1,2,2683
Avocado,2020,1,3,2669
Avocado,2020,1,4,2870
Avocado,2020,1,5,2986
Avocado,2020,1,6,2843
Avocado,2020,1,7,2841
Avocado,2020,1,8,2887
Avocado,2020,1,9,3130
Avocado,2020,1,10,2968
Avocado,2020,1,11,3086
Avocado,2020,1,12,3464
Avocado,2020,1,13,3197
Avocado,2020,1,14,3267
Avocado,2020,1,15,3000
Avocado,2020,1,16,3190
Avocado,2020,1,17,3001
Avocado,2020,1,18,3165
Avocado,2020,1,19,3167
Avocado,2020,1,20,3097
Avocado,2020,1,21,3070
Avocado,2020,1,22,3173
Avocado,2020,1,23,3039
Avocado,2020,1,24,2839
Avocado,2020,1,25,3843
Avocado,2020,1,26,3223
Avocado,2020,1,27,2974
Avocado,2020,1,28,3364
Avocado,2020,1,29,2962
Avocado,2020,1,30,3195
Avocado,2020,1,31,2921
Avocado,2020,2,1,2959
Avocado,2020,2,2,3328
Avocado,2020,2,3,3372
Avocado,2020,2,4,3108
Avocado,2020,2,5,3094
Avocado,2020,2,6,3137
Avocado,2020,2,7,3038
Avocado,2020,2,8,3130
Avocado,2020,2,9,3259
Avocado,2020,2,10,2993
Avocado,2020,2,11,2978
Avocado,2020,2,12,2961
Avocado,2020,2,13,2974
Avocado,2020,2,14,2982
Avocado,2020,2,15,2820
Avocado,2020,2,16,3324
Avocado,2020,2,17,2962
Avocado,2020,2,18,3039
Avocado,2020,2,19,3077
Avocado,2020,2,20,3186
Avocado,2020,2,21,2838
Avocado,2020,2,22,3002
Avocado,2020,2,23,3236
Avocado,2020,2,24,3164
Avocado,2020,2,25,3220
Banana,2019,12,28,3983
Banana,2019,12,29,4191
Banana,2019,12,30,4270
Banana,2019,12,31,4188
Banana,2020,1,1,4241
Banana,2020,1,2,4793
Banana,2020,1,3,4766
Banana,2020,1,4,4671
Banana,2020,1,5,4719
Banana,2020,1,6,5337
Banana,2020,1,7,5333
Banana,2020,1,8,5442
Banana,2020,1,9,5676
Banana,2020,1,10,5165
Banana,2020,1,11,4524
Banana,2020,1,12,4826
Banana,2020,1,13,5115
Banana,2020,1,14,5597
Banana,2020,1,15,5829
Banana,2020,1,16,5674
Banana,2020,1,17,5417
Banana,2020,1,18,4893
Banana,2020,1,19,5264
Banana,2020,1,20,5545
Banana,2020,1,21,6039
Banana,2020,1,22,5822
Banana,2020,1,23,5784
Banana,2020,1,24,5222
Banana,2020,1,25,5065
Banana,2020,1,26,5246
Banana,2020,1,27,5472
Banana,2020,1,28,5899
Banana,2020,1,29,5767
Banana,2020,1,30,5550
Banana,2020,1,31,5079
Banana,2020,2,1,4624
Banana,2020,2,2,4897
Banana,2020,2,3,5099
Banana,2020,2,4,5568
Banana,2020,2,5,5960
Banana,2020,2,6,5829
Banana,2020,2,7,5340
Banana,2020,2,8,4968
Banana,2020,2,9,5372
