region,salmon,oyster,shrimp,cod,lobster
Juneau AK,74%,2%,13%,8%,3%
Boston MA-Manchester NH,9%,6%,8%,63%,14%
Anchorage AK,70%,2%,15%,8%,5%
Watertown NY,62%,1%,12%,10%,15%
Bangor ME,15%,3%,10%,12%,60%
Idaho Falls-Pocatello ID,72%,1%,12%,8%,7%
Portland-Auburn ME,14%,8%,10%,14%,54%
Fairbanks AK,63%,2%,17%,13%,5%
Providence RI-New Bedford MA,12%,12%,15%,44%,17%
Mobile AL-Pensacola (Ft. Walton Beach) FL,11%,22%,49%,8%,10%
Portland OR,56%,6%,17%,10%,11%
Panama City FL,9%,33%,40%,6%,12%
Springfield-Holyoke MA,17%,4%,16%,47%,16%
Jacksonville FL,17%,7%,49%,10%,17%
Biloxi-Gulfport MS,10%,21%,48%,8%,13%
New Orleans LA,13%,26%,45%,7%,9%
Palm Springs CA,18%,3%,19%,47%,13%
Seattle-Tacoma WA,46%,10%,20%,12%,12%
Savannah GA,18%,17%,44%,10%,11%
Missoula MT,51%,3%,22%,14%,10%
Honolulu HI,23%,5%,45%,12%,15%
Baton Rouge LA,15%,16%,50%,8%,11%
Eureka CA,46%,13%,21%,12%,8%
Lafayette LA,13%,11%,54%,11%,11%
Lake Charles LA,17%,5%,57%,11%,10%
Charleston SC,17%,26%,33%,10%,14%
Wilmington NC,16%,24%,37%,10%,13%
Twin Falls ID,51%,2%,25%,12%,10%
Hattiesburg-Laurel MS,15%,12%,47%,10%,16%
Bend OR,46%,5%,24%,15%,10%
Salisbury MD,16%,21%,32%,10%,21%
Norfolk-Portsmouth-Newport News VA,19%,19%,35%,10%,17%
Boise ID,47%,3%,23%,14%,13%
Butte-Bozeman MT,47%,4%,25%,14%,10%
Jackson MS,18%,11%,47%,8%,16%
Eugene OR,45%,6%,22%,14%,13%
Ft. Myers-Naples FL,17%,10%,33%,13%,27%
Beaumont-Port Arthur TX,16%,5%,50%,12%,17%
Hartford & New Haven CT,18%,10%,19%,29%,24%
Medford-Klamath Falls OR,44%,4%,22%,14%,16%
Monroe LA-El Dorado AR,14%,5%,51%,13%,17%
Richmond-Petersburg VA,23%,11%,37%,10%,19%
Alexandria LA,17%,8%,50%,15%,10%
Spokane WA,41%,4%,21%,15%,19%
Greenville-New Bern-Washington NC,17%,15%,37%,15%,16%
Baltimore MD,24%,14%,33%,11%,18%
Florence-Myrtle Beach SC,14%,19%,34%,10%,23%
Yakima-Pasco-Richland-Kennewick WA,41%,4%,23%,15%,17%
Birmingham AL,20%,11%,40%,12%,17%
Montgomery (Selma) AL,19%,15%,41%,9%,16%
Albany-Schenectady-Troy NY,23%,7%,21%,30%,19%
Corpus Christi TX,17%,16%,39%,13%,15%
Tallahassee FL-Thomasville GA,22%,13%,37%,11%,17%
Shreveport LA,18%,8%,42%,13%,19%
Chico-Redding CA,37%,4%,24%,15%,20%
Tampa-St. Petersburg (Sarasota) FL,19%,11%,31%,11%,28%
Helena MT,41%,3%,26%,17%,13%
Meridian MS,17%,6%,35%,12%,30%
Huntsville-Decatur (Florence) AL,22%,5%,40%,13%,20%
Columbia SC,22%,11%,35%,10%,22%
Syracuse NY,32%,5%,23%,20%,20%
Orlando-Daytona Beach-Melbourne FL,18%,8%,31%,11%,32%
Augusta GA,22%,8%,34%,11%,25%
Traverse City-Cadillac MI,38%,5%,25%,15%,17%
West Palm Beach-Ft. Pierce FL,22%,8%,31%,13%,26%
Atlanta GA,25%,8%,33%,11%,23%
Macon GA,22%,5%,37%,11%,25%
Houston TX,22%,9%,39%,12%,18%
Columbus GA,20%,8%,35%,13%,24%
Gainesville FL,25%,7%,36%,13%,19%
Charlotte NC,24%,9%,34%,13%,20%
Burlington VT-Plattsburgh NY,29%,5%,20%,28%,18%
Raleigh-Durham (Fayetteville) NC,23%,14%,33%,12%,18%
Columbus-Tupelo-West Point MS,20%,8%,41%,15%,16%
Victoria TX,17%,7%,37%,10%,29%
Miami-Ft. Lauderdale FL,22%,7%,27%,11%,33%
Albany GA,17%,9%,37%,11%,26%
Dothan AL,17%,14%,36%,14%,19%
Philadelphia PA,25%,9%,28%,14%,24%
Santa Barbara-Santa Maria-San Luis Obispo CA,34%,10%,24%,15%,17%
Greenwood-Greenville MS,19%,9%,46%,13%,13%
Duluth MN-Superior WI,34%,4%,24%,16%,22%
Harrisburg-Lancaster-Lebanon-York PA,22%,7%,30%,16%,25%
San Francisco-Oakland-San Jose CA,33%,12%,25%,13%,17%
Charlottesville VA,28%,13%,29%,15%,15%
Monterey-Salinas CA,34%,7%,28%,16%,15%
Washington DC (Hagerstown MD),27%,12%,29%,13%,19%
Chicago IL,24%,5%,29%,21%,21%
Memphis TN,24%,8%,32%,12%,24%
Cleveland-Akron (Canton) OH,24%,5%,24%,16%,31%
Harrisonburg VA,22%,9%,31%,15%,23%
Sacramento-Stockton-Modesto CA,32%,5%,30%,14%,19%
New York NY,21%,14%,23%,17%,25%
Denver CO,32%,6%,27%,15%,20%
Presque Isle ME,20%,4%,21%,23%,32%
Zanesville OH,17%,3%,23%,24%,33%
Lima OH,20%,4%,22%,19%,35%
Reno NV,31%,8%,26%,15%,20%
Wilkes Barre-Scranton PA,22%,5%,27%,18%,28%
Youngstown OH,19%,4%,25%,19%,33%
Johnstown-Altoona PA,22%,4%,24%,20%,30%
Greensboro-High Point-Winston Salem NC,25%,11%,32%,13%,19%
Roanoke-Lynchburg VA,25%,7%,31%,16%,21%
Salt Lake City UT,36%,5%,25%,15%,19%
Tyler-Longview(Lufkin & Nacogdoches) TX,21%,5%,37%,15%,22%
"Billings, MT",31%,4%,28%,15%,22%
Little Rock-Pine Bluff AR,22%,7%,33%,14%,24%
Greenville-Spartanburg SC-Asheville NC-Anderson SC,26%,9%,30%,13%,22%
Grand Junction-Montrose CO,29%,6%,24%,14%,27%
Las Vegas NV,22%,10%,28%,13%,27%
Alpena MI,34%,,26%,23%,17%
Utica NY,25%,5%,24%,21%,25%
Austin TX,27%,10%,31%,14%,18%
San Antonio TX,21%,11%,33%,15%,20%
Mankato MN,21%,5%,25%,19%,30%
Marquette MI,29%,5%,27%,15%,24%
Jonesboro AR,21%,5%,35%,16%,23%
Dallas-Ft. Worth TX,26%,7%,33%,14%,20%
San Diego CA,28%,8%,28%,13%,23%
