year,title,img,rating_count,gross,genre,rating,runtime,stars,metacritic,description,avg_saturation,avg_value,avg_red,avg_orange,avg_yellow,avg_green,avg_blue,avg_violet,avg_black,avg_grey,avg_white,avg_edge
1970,Love Story,love_story.jpg,28330,106.4,"Drama, Romance",PG,100,6.9,NA,A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,0.08029792248510015,0.7903973405213399,0.008785515915402692,0.010311187068290251,1.8069500818913338e-4,7.868689026561276e-4,0.001064587338887702,1.7802463860998362e-6,0.03654578793705049,0.042751726838994517,0.25403581855728835,0.04586166444178613
1970,Airport,airport.jpg,16512,100.49,"Action, Drama, Thriller",G,137,6.6,42,"A bomber on board an airplane, an airport almost closed by snow, and various personal problems of the people involved.",0.2928457189363516,0.7073515993593905,0.0019693624991638237,0.01663255067228577,0.011603005775191206,4.8163756773028296e-4,0.1316850625459897,1.4984279884942137e-4,0.004735210827926059,0.15137511985194105,0.17722300265346622,0.04954734636760736
1970,MASH,mash.jpg,64989,81.6,"Comedy, Drama, War",R,116,7.5,NA,The staff of a Korean War field hospital use humor and high jinks to keep their sanity in the face of the horror of war.,0.40103629182765393,0.745400023238925,0.013199012345679013,0.042032592592592594,0.17264938271604938,9.293827160493827e-4,0,0,0.008600987654320987,0.03855851851851852,0.28617382716049383,0.035102847848915625
1970,Patton,patton.jpg,90461,61.7,"Biography, Drama, War",GP,172,7.9,NA,The World War II phase of the career of controversial American general George S. Patton.,0.17433849565817364,0.8312899118937443,0.04407688326647657,0.0018320163356048524,4.7726064472475955e-4,2.3661656436776053e-5,0.024863114800315757,5.034394986548097e-7,0.008488493386818745,0.05723075048732944,0.26761408945918513,0.03657573618987647
1970,The AristoCats,the_aristocats.jpg,87551,37.68,"Animation, Adventure, Comedy",G,78,7.1,NA,"With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.",0.1248199194507215,0.7979474571281945,0.027366692029904466,0.010077901373238161,0.014192543208087249,0.002512651424568523,0.009256132468567702,4.983272340785295e-4,0.02968706595649601,0.05214826624153049,0.25149800113530685,0.04400358220849864
1970,Little Big Man,little_big_man.jpg,31412,31.56,"Adventure, Comedy, Drama",PG-13,139,7.6,NA,"Jack Crabb, looking back from extreme old age, tells of his life being raised by Native Americans and fighting with General Custer.",0.09016387405954425,0.6796583791250037,0.009906584992343032,3.8948443083205715e-4,0,0,3.675344563552833e-5,0,0.038862174578866766,0.13975803981623278,0.15471311893823378,0.053595196704383126
1970,Tora! Tora! Tora!,tora_tora_tora.jpg,30347,29.55,"Action, Drama, History",G,144,7.5,46,"In 1941, following months of economic embargo, Japan prepares to open its war against the United States with a surprise attack on the US naval base at Pearl Harbor.",0.4860645939534094,0.3979528775599128,0.17050955555555555,8.133333333333334e-5,0.0042291111111111114,1.3333333333333334e-6,6.222222222222222e-6,0,0.07779844444444445,0.19017644444444445,0.06535844444444444,0.021121361608919753
1970,Catch-22,catch.jpg,20997,24.91,"Comedy, Drama, War",R,122,7.2,NA,"A man is trying desperately to be certified insane during World War II, so he can stop flying missions.",0.35966209375594016,0.6228054483453459,0.0026947738252086077,0.1536870882740448,0.02692270531400966,5.050505050505051e-6,0.0025245937637241984,3.0742204655248133e-6,0.008982213438735178,0.19813109354413702,0.12622002635046115,0.036546805917391144
1970,The Owl and the Pussycat,the_owl_and_the_pussycat.jpg,3107,23.68,Comedy,PG,95,6.5,NA,"A stuffy author enters into an explosive relationship with his neighbor, a foul-mouthed, freewheeling prostitute.",0.1024255420931898,0.6722113941912305,0.016338189845474613,0.02068962472406181,0.0017589403973509933,2.1898454746136864e-4,6.181015452538631e-6,1.4128035320088301e-5,0.036948344370860926,0.07893421633554083,0.21745077262693158,0.04894551155673808
1970,Joe,joe.jpg,2633,19.32,"Drama, Thriller",R,107,6.8,NA,"Two men, Bill, a wealthy conservative, and Joe, a far-right factory worker, form a dangerous bond after Bill confesses to murdering his daughter's drug dealer boyfriend to Joe.",0.2757805440093845,0.3182685812294916,0.0072972270926683555,3.1235794532112474e-4,6.0393532047535555e-5,0,0.03849210987726476,0.010844860055847783,0.19043834015195793,0.08420481849470744,0.05869017468666796,0.04229543347907548
1970,Beneath the Planet of the Apes,beneath_the_planet_of_the_apes.jpg,40112,19,"Action, Adventure, Sci-Fi",G,95,6.1,46,The sole survivor of an interplanetary rescue mission searches for the only survivor of the previous expedition. He discovers a planet ruled by apes and an underground city run by telepathic humans.,0.16049053983935602,0.7399139033031844,0.02360314253647587,0.010085297418630752,0.011308641975308642,0.0023636363636363638,0.0019194163860830526,3.097643097643098e-5,0.04703636363636363,0.029770145903479237,0.25652682379349045,0.04735048026162185
