fips,population,pop_change_2018,unemployment_rate,median_hh_income,pct_below_povert,feb_temp_avg,aug_temp_avg,prc_bachelors,physicians_per_pop
01001,55601,158,3.6,59338,19.3,14.8,27.7,27.7,217.1
01003,218022,5403,3.6,57588,13.9,16.7,28.1,31.3,217.1
01005,24881,-277,5.2,34382,43.9,14.7,27.3,12.2,217.1
01007,22400,-155,4,46064,27.8,12.7,26.7,11.5,217.1
01009,57840,13,3.5,50412,18,11.2,26.2,12.6,217.1
01011,10138,-38,4.7,29267,68.3,14.6,27.1,13.3,217.1
01013,19680,-218,4.8,37365,36.3,15.2,27.2,16.1,217.1
01015,114277,-387,4.7,45400,26.5,11.4,26.6,18,217.1
01017,33615,-143,3.9,39917,30.7,12.6,26.4,13.2,217.1
01019,26032,217,3.6,42132,24.7,10.8,26.3,12.9,217.1
01021,44153,36,3.6,47547,23.3,13.2,27,14.2,217.1
01023,12841,-94,5.5,39907,32.1,14.8,27.7,13,217.1
01025,23920,-177,7.5,40741,31.7,16.1,27.8,12.6,217.1
01027,13275,-92,3.9,39201,25.8,11.7,26,10.2,217.1
01029,14987,81,4.2,46495,22.9,11.1,26.1,13.7,217.1
01031,51909,132,3.9,55122,21.9,15,27.3,23.4,217.1
01033,54762,253,4.6,49055,21,9.7,25.6,18.7,217.1
01035,12277,-158,5.2,32613,40.1,16,27.9,10.7,217.1
01037,10715,-42,4.2,42423,30.1,12.8,26.8,11.6,217.1
01039,36986,-92,4.6,40203,29.5,15.4,27.6,14.9,217.1
01041,13824,-37,4.1,39057,30.8,14.7,26.9,15.6,217.1
01043,83442,606,3.3,45796,19.7,11,26.1,13.7,217.1
01045,48956,-298,4.2,45309,24.4,15.4,27.5,17,217.1
01047,38310,-925,6.5,34035,48,15,27.6,15.1,217.1
01049,71385,-19,3.8,39491,29.6,9.9,24.8,12.7,217.1
01051,81887,471,3.4,60367,16.3,14.2,27.4,24.5,217.1
